X,Y,CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen,NOMBRE PAR
-58.469957,-34.60152,SAN MARTIN AV.,"3277",3277 SAN MARTIN AV.,"-58,469957","-34,60152000","15",PATERNAL,"24",,"57",I,"105",,"146",,,,,,ARGENTINOS JUNIOR
-58.4655632,-34.6026451,SAN MARTIN AV.,"2811",2811 SAN MARTIN AV.,"-58,4655632","-34,60264510","15",PATERNAL,"24",,"57",I,"105",,"109",V,"135",V,"146",,DONATO ALVAREZ
-58.4643574,-34.6030427,SAN MARTIN AV.,"2750",2750 SAN MARTIN AV.,"-58,4643574","-34,60304270","11",VILLA GRAL MITRE,"24",,"57",V,"105",,"109",,"135",I,"146",,DONATO ALVAREZ
-58.4591212,-34.6043897,SAN MARTIN AV.,"2206",2206 SAN MARTIN AV.,"-58,4591212","-34,60438970","11",VILLA GRAL MITRE,"135",I,"146",V,,,,,,,,,PAPPO NAPOLITANO
-58.4586812,-34.60478,JUAN B. JUSTO AV.,"4018","4018 JUSTO, JUAN B. AV.","-58,4586812","-34,60478000","6",CABALLITO,"34",V,"109",I,"166",V,,,,,,,AV. SAN MARTIN
-58.4631219,-34.60779,JUAN B. JUSTO AV.,"4434","4434 JUSTO, JUAN B. AV.","-58,4631219","-34,60779000","11",VILLA GRAL MITRE,"34",V,"110",V,"166",V,,,,,,,DONATO ALVAREZ
-58.4680421,-34.61153,JUAN B. JUSTO AV.,"4910","4910 JUSTO, JUAN B. AV.","-58,4680421","-34,61153000","11",VILLA GRAL MITRE,"34",,"110",V,"166",V,,,,,,,BOYACA
-58.4729713,-34.61481,JUAN B. JUSTO AV.,"5391","5391 JUSTO, JUAN B. AV.","-58,4729713","-34,61481000","11",VILLA GRAL MITRE,"34",I,"166",I,,,,,,,,,ARTIGAS
-58.4759309,-34.61779,JUAN B. JUSTO AV.,"5679","5679 JUSTO, JUAN B. AV.","-58,4759309","-34,61779000","11",VILLA SANTA RITA,"34",I,"166",I,,,,,,,,,AV. NAZCA
-58.4762177,-34.61843,JUAN B. JUSTO AV.,"5728","5728 JUSTO, JUAN B. AV.","-58,4762177","-34,61843000","11",VILLA SANTA RITA,"34",V,"166",V,,,,,,,,,AV. NAZCA
-58.4149881,-34.63671,CHICLANA AV.,"3639",3639 CHICLANA AV.,"-58,4149881","-34,63671000","5",BOEDO,"101",V,"143",I,,,,,,,,,BOEDO
-58.4300133,-34.6495013,GRAL. FRANCISCO FERNANDEZ DE LA CRUZ AV.,"1660","1660 FERNANDEZ DE LA CRUZ, F., GRAL. AV.","-58,4300133","-34,64950130","4",NUEVA POMPEYA,"101",I,"143",V,"150",V,,,,,,,PERITO MORENO
